#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 175000      5.41e-02    5.00e-02      6.70e-04    7.08e-04      1.54e-02    1.42e-02    1.1e-05
 176000      5.46e-02    5.33e-02      8.16e-04    2.78e-04      1.55e-02    1.52e-02    1.1e-05
 177000      5.59e-02    5.47e-02      2.88e-04    8.87e-04      1.60e-02    1.55e-02    1.1e-05
 178000      6.00e-02    4.80e-02      4.18e-04    9.05e-04      1.71e-02    1.36e-02    1.1e-05
 179000      5.33e-02    5.61e-02      9.24e-04    1.01e-03      1.51e-02    1.59e-02    1.1e-05
 180000      5.11e-02    5.14e-02      1.31e-03    8.04e-04      1.51e-02    1.55e-02    9.9e-06
 181000      5.20e-02    5.45e-02      3.58e-04    8.05e-04      1.58e-02    1.64e-02    9.9e-06
 182000      4.93e-02    5.23e-02      7.17e-04    1.55e-03      1.48e-02    1.54e-02    9.9e-06
 183000      5.25e-02    5.09e-02      2.14e-04    3.48e-04      1.59e-02    1.54e-02    9.9e-06
 184000      5.18e-02    5.18e-02      4.26e-04    5.42e-05      1.57e-02    1.57e-02    9.9e-06
 185000      5.21e-02    4.42e-02      7.79e-04    1.18e-04      1.66e-02    1.42e-02    8.7e-06
 186000      4.67e-02    4.68e-02      3.42e-04    5.50e-04      1.50e-02    1.50e-02    8.7e-06
 187000      5.00e-02    4.64e-02      4.03e-04    6.33e-04      1.60e-02    1.48e-02    8.7e-06
 188000      5.21e-02    4.80e-02      1.17e-04    3.55e-04      1.67e-02    1.54e-02    8.7e-06
 189000      4.91e-02    5.02e-02      4.47e-04    2.46e-04      1.57e-02    1.61e-02    8.7e-06
 190000      4.63e-02    4.23e-02      1.54e-03    9.63e-04      1.52e-02    1.42e-02    7.7e-06
 191000      4.55e-02    4.17e-02      6.51e-04    6.78e-04      1.54e-02    1.40e-02    7.7e-06
 192000      4.75e-02    4.51e-02      1.14e-03    1.14e-03      1.59e-02    1.50e-02    7.7e-06
 193000      4.57e-02    4.94e-02      9.07e-05    2.26e-04      1.56e-02    1.68e-02    7.7e-06
 194000      4.37e-02    4.66e-02      5.30e-04    4.05e-04      1.48e-02    1.58e-02    7.7e-06
 195000      4.67e-02    4.65e-02      2.36e-04    5.17e-04      1.68e-02    1.67e-02    6.7e-06
 196000      4.23e-02    4.49e-02      6.38e-04    1.01e-03      1.51e-02    1.59e-02    6.7e-06
 197000      4.05e-02    4.25e-02      5.05e-05    2.63e-04      1.46e-02    1.53e-02    6.7e-06
 198000      4.45e-02    4.25e-02      4.33e-04    3.63e-04      1.60e-02    1.52e-02    6.7e-06
 199000      4.30e-02    4.25e-02      2.92e-04    6.81e-05      1.55e-02    1.53e-02    6.7e-06
